title,youtube_url,artist,genre,hint,start_time
"[다이너마이트, Dynamite, 다이나마이트]",https://www.youtube.com/watch?v=gdZLi9oWNZg,BTS,K-Pop,다이너마이트,30
"[Butter, 버터]",https://www.youtube.com/watch?v=WMweEpGlu_U,BTS,K-Pop,버터처럼 부드럽게,10
"[Shape of You, 쉐이프 오브 유]",https://www.youtube.com/watch?v=JGwWNGJdvx8,Ed Sheeran,Pop,당신의 모양,15
"[Blinding Lights, 블라인딩 라이츠]",https://www.youtube.com/watch?v=4NRXx6U8ABQ,The Weeknd,Pop,눈부신 불빛,20
"[Bad Guy, 배드 가이, 나쁜 남자]",https://www.youtube.com/watch?v=DyDfgMOUjCI,Billie Eilish,Pop,나쁜 남자,0
